Year,Year70To81,MPG,GallonsPer100Miles,GallonsPer100MilesTo1981,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,Seconds0to60,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
70,1,18,5.6,5.6,8,3.07,1.3,3.504,12,1,1,0,0,chevrolet chevelle malibu
70,1,15,6.7,6.7,8,3.5,1.65,3.693,11.5,1,1,0,0,buick skylark 320
70,1,18,5.6,5.6,8,3.18,1.5,3.436,11,1,1,0,0,plymouth satellite
70,1,16,6.3,6.3,8,3.04,1.5,3.433,12,1,1,0,0,amc rebel sst
70,1,17,5.9,5.9,8,3.02,1.4,3.449,10.5,1,1,0,0,ford torino
70,1,15,6.7,6.7,8,4.29,1.98,4.341,10,1,1,0,0,ford galaxie 500
70,1,14,7.1,7.1,8,4.54,2.2,4.354,9,1,1,0,0,chevrolet impala
70,1,14,7.1,7.1,8,4.4,2.15,4.312,8.5,1,1,0,0,plymouth fury iii
70,1,14,7.1,7.1,8,4.55,2.25,4.425,10,1,1,0,0,pontiac catalina
70,1,15,6.7,6.7,8,3.9,1.9,3.85,8.5,1,1,0,0,amc ambassador dpl
70,1,15,6.7,6.7,8,3.83,1.7,3.563,10,1,1,0,0,dodge challenger se
70,1,14,7.1,7.1,8,3.4,1.6,3.609,8,1,1,0,0,plymouth 'cuda 340
70,1,15,6.7,6.7,8,4,1.5,3.761,9.5,1,1,0,0,chevrolet monte carlo
70,1,14,7.1,7.1,8,4.55,2.25,3.086,10,1,1,0,0,buick estate wagon (sw)
70,1,24,4.2,4.2,4,1.13,0.95,2.372,15,3,0,0,1,toyota corona mark ii
70,1,22,4.5,4.5,6,1.98,0.95,2.833,15.5,1,1,0,0,plymouth duster
70,1,18,5.6,5.6,6,1.99,0.97,2.774,15.5,1,1,0,0,amc hornet
70,1,21,4.8,4.8,6,2,0.85,2.587,16,1,1,0,0,ford maverick
70,1,27,3.7,3.7,4,0.97,0.88,2.13,14.5,3,0,0,1,datsun pl510
70,1,26,3.8,3.8,4,0.97,0.46,1.835,20.5,2,0,1,0,volkswagen 1131 deluxe sedan
70,1,25,4.0,4.0,4,1.1,0.87,2.672,17.5,2,0,1,0,peugeot 504
70,1,24,4.2,4.2,4,1.07,0.9,2.43,14.5,2,0,1,0,audi 100 ls
70,1,25,4.0,4.0,4,1.04,0.95,2.375,17.5,2,0,1,0,saab 99e
70,1,26,3.8,3.8,4,1.21,1.13,2.234,12.5,2,0,1,0,bmw 2002
70,1,21,4.8,4.8,6,1.99,0.9,2.648,15,1,1,0,0,amc gremlin
70,1,10,10.0,10.0,8,3.6,2.15,4.615,14,1,1,0,0,ford f250
70,1,10,10.0,10.0,8,3.07,2,4.376,15,1,1,0,0,chevy c20
70,1,11,9.1,9.1,8,3.18,2.1,4.382,13.5,1,1,0,0,dodge d200
70,1,9,11.1,11.1,8,3.04,1.93,4.732,18.5,1,1,0,0,hi 1200d
71,1,27,3.7,3.7,4,0.97,0.88,2.13,14.5,3,0,0,1,datsun pl510
71,1,28,3.6,3.6,4,1.4,0.9,2.264,15.5,1,1,0,0,chevrolet vega 2300
71,1,25,4.0,4.0,4,1.13,0.95,2.228,14,3,0,0,1,toyota corona
71,1,19,5.3,5.3,6,2.32,1,2.634,13,1,1,0,0,amc gremlin
71,1,16,6.3,6.3,6,2.25,1.05,3.439,15.5,1,1,0,0,plymouth satellite custom
71,1,17,5.9,5.9,6,2.5,1,3.329,15.5,1,1,0,0,chevrolet chevelle malibu
71,1,19,5.3,5.3,6,2.5,0.88,3.302,15.5,1,1,0,0,ford torino 500
71,1,18,5.6,5.6,6,2.32,1,3.288,15.5,1,1,0,0,amc matador
71,1,14,7.1,7.1,8,3.5,1.65,4.209,12,1,1,0,0,chevrolet impala
71,1,14,7.1,7.1,8,4,1.75,4.464,11.5,1,1,0,0,pontiac catalina brougham
71,1,14,7.1,7.1,8,3.51,1.53,4.154,13.5,1,1,0,0,ford galaxie 500
71,1,14,7.1,7.1,8,3.18,1.5,4.096,13,1,1,0,0,plymouth fury iii
71,1,12,8.3,8.3,8,3.83,1.8,4.955,11.5,1,1,0,0,dodge monaco (sw)
71,1,13,7.7,7.7,8,4,1.7,4.746,12,1,1,0,0,ford country squire (sw)
71,1,13,7.7,7.7,8,4,1.75,5.14,12,1,1,0,0,pontiac safari (sw)
71,1,18,5.6,5.6,6,2.58,1.1,2.962,13.5,1,1,0,0,amc hornet sportabout (sw)
71,1,22,4.5,4.5,4,1.4,0.72,2.408,19,1,1,0,0,chevrolet vega (sw)
71,1,19,5.3,5.3,6,2.5,1,3.282,15,1,1,0,0,pontiac firebird
71,1,18,5.6,5.6,6,2.5,0.88,3.139,14.5,1,1,0,0,ford mustang
71,1,23,4.3,4.3,4,1.22,0.86,2.22,14,1,1,0,0,mercury capri 2000
71,1,28,3.6,3.6,4,1.16,0.9,2.123,14,2,0,1,0,opel 1900
71,1,30,3.3,3.3,4,0.79,0.7,2.074,19.5,2,0,1,0,peugeot 304
71,1,30,3.3,3.3,4,0.88,0.76,2.065,14.5,2,0,1,0,fiat 124b
71,1,31,3.2,3.2,4,0.71,0.65,1.773,19,3,0,0,1,toyota corolla 1200
71,1,35,2.9,2.9,4,0.72,0.69,1.613,18,3,0,0,1,datsun 1200
71,1,27,3.7,3.7,4,0.97,0.6,1.834,19,2,0,1,0,volkswagen model 111
71,1,26,3.8,3.8,4,0.91,0.7,1.955,20.5,1,1,0,0,plymouth cricket
72,1,24,4.2,4.2,4,1.13,0.95,2.278,15.5,3,0,0,1,toyota corona hardtop
72,1,25,4.0,4.0,4,0.975,0.8,2.126,17,1,1,0,0,dodge colt hardtop
72,1,23,4.3,4.3,4,0.97,0.54,2.254,23.5,2,0,1,0,volkswagen type 3
72,1,20,5.0,5.0,4,1.4,0.9,2.408,19.5,1,1,0,0,chevrolet vega
72,1,21,4.8,4.8,4,1.22,0.86,2.226,16.5,1,1,0,0,ford pinto runabout
72,1,13,7.7,7.7,8,3.5,1.65,4.274,12,1,1,0,0,chevrolet impala
72,1,14,7.1,7.1,8,4,1.75,4.385,12,1,1,0,0,pontiac catalina
72,1,15,6.7,6.7,8,3.18,1.5,4.135,13.5,1,1,0,0,plymouth fury iii
72,1,14,7.1,7.1,8,3.51,1.53,4.129,13,1,1,0,0,ford galaxie 500
72,1,17,5.9,5.9,8,3.04,1.5,3.672,11.5,1,1,0,0,amc ambassador sst
