Weekday,Weekday_EQ_1,Weekday_EQ_2,Weekday_EQ_3,Weekday_EQ_4,Weekday_EQ_5,Weekday_EQ_6,Weekday_EQ_7,Day,Date,Page Loads,Unique Visits,Unique_Visits_MA7,Unique_Visits_MA7_LAG7,First Time Visits,Returning Visits
1,1,0,0,0,0,0,0,Sunday,4th January 2015,1896,1409,,,1186,223
2,0,1,0,0,0,0,0,Monday,5th January 2015,3033,2062,,,1706,356
3,0,0,1,0,0,0,0,Tuesday,6th January 2015,3445,2327,,,1942,385
4,0,0,0,1,0,0,0,Wednesday,7th January 2015,3423,2384,,,1991,393
5,0,0,0,0,1,0,0,Thursday,8th January 2015,3319,2272,,,1922,350
6,0,0,0,0,0,1,0,Friday,9th January 2015,2783,1941,,,1663,278
7,0,0,0,0,0,0,1,Saturday,10th January 2015,1952,1240,1948,,1066,174
1,1,0,0,0,0,0,0,Sunday,11th January 2015,2245,1611,1977,,1391,220
2,0,1,0,0,0,0,0,Monday,12th January 2015,3928,2518,2042,,2125,393
3,0,0,1,0,0,0,0,Tuesday,13th January 2015,3810,2621,2084,,2239,382
4,0,0,0,1,0,0,0,Wednesday,14th January 2015,3931,2656,2123,,2229,427
5,0,0,0,0,1,0,0,Thursday,15th January 2015,3523,2457,2149,,2069,388
6,0,0,0,0,0,1,0,Friday,16th January 2015,2943,1928,2147,,1640,288
7,0,0,0,0,0,0,1,Saturday,17th January 2015,1751,1237,2147,1948,1052,185
1,1,0,0,0,0,0,0,Sunday,18th January 2015,2491,1762,2168,1977,1541,221
2,0,1,0,0,0,0,0,Monday,19th January 2015,3766,2665,2189,2042,2271,394
3,0,0,1,0,0,0,0,Tuesday,20th January 2015,4194,2852,2222,2084,2423,429
4,0,0,0,1,0,0,0,Wednesday,21st January 2015,4038,2916,2260,2123,2482,434
5,0,0,0,0,1,0,0,Thursday,22nd January 2015,3891,2702,2295,2149,2334,368
6,0,0,0,0,0,1,0,Friday,23rd January 2015,3111,2181,2331,2147,1897,284
7,0,0,0,0,0,0,1,Saturday,24th January 2015,1946,1414,2356,2147,1239,175
1,1,0,0,0,0,0,0,Sunday,25th January 2015,2802,2010,2391,2168,1740,270
2,0,1,0,0,0,0,0,Monday,26th January 2015,3892,2841,2417,2189,2466,375
3,0,0,1,0,0,0,0,Tuesday,27th January 2015,4172,3003,2438,2222,2592,411
4,0,0,0,1,0,0,0,Wednesday,28th January 2015,4464,3280,2490,2260,2862,418
5,0,0,0,0,1,0,0,Thursday,29th January 2015,4377,3143,2553,2295,2679,464
6,0,0,0,0,0,1,0,Friday,30th January 2015,3734,2514,2601,2331,2129,385
7,0,0,0,0,0,0,1,Saturday,31st January 2015,2262,1657,2635,2356,1443,214
1,1,0,0,0,0,0,0,Sunday,1st February 2015,3050,2122,2651,2391,1825,297
2,0,1,0,0,0,0,0,Monday,2nd February 2015,4794,3366,2726,2417,2867,499
3,0,0,1,0,0,0,0,Tuesday,3rd February 2015,4936,3423,2786,2438,2922,501
4,0,0,0,1,0,0,0,Wednesday,4th February 2015,5016,3500,2818,2490,3023,477
5,0,0,0,0,1,0,0,Thursday,5th February 2015,4489,3170,2822,2553,2753,417
6,0,0,0,0,0,1,0,Friday,6th February 2015,3505,2468,2815,2601,2075,393
7,0,0,0,0,0,0,1,Saturday,7th February 2015,2264,1679,2818,2635,1437,242
1,1,0,0,0,0,0,0,Sunday,8th February 2015,3314,2435,2863,2651,2100,335
2,0,1,0,0,0,0,0,Monday,9th February 2015,5095,3619,2899,2726,3125,494
3,0,0,1,0,0,0,0,Tuesday,10th February 2015,5525,3793,2952,2786,3272,521
4,0,0,0,1,0,0,0,Wednesday,11th February 2015,5074,3689,2979,2818,3190,499
5,0,0,0,0,1,0,0,Thursday,12th February 2015,4571,3319,3000,2822,2810,509
6,0,0,0,0,0,1,0,Friday,13th February 2015,3570,2664,3028,2815,2253,411
7,0,0,0,0,0,0,1,Saturday,14th February 2015,2182,1565,3012,2818,1323,242
1,1,0,0,0,0,0,0,Sunday,15th February 2015,3265,2277,2989,2863,1935,342
2,0,1,0,0,0,0,0,Monday,16th February 2015,4670,3297,2943,2899,2826,471
3,0,0,1,0,0,0,0,Tuesday,17th February 2015,4764,3452,2895,2952,2957,495
4,0,0,0,1,0,0,0,Wednesday,18th February 2015,4943,3526,2871,2979,3026,500
5,0,0,0,0,1,0,0,Thursday,19th February 2015,4790,3307,2870,3000,2811,496
6,0,0,0,0,0,1,0,Friday,20th February 2015,3604,2621,2864,3028,2241,380
7,0,0,0,0,0,0,1,Saturday,21st February 2015,2455,1823,2900,3012,1569,254
1,1,0,0,0,0,0,0,Sunday,22nd February 2015,3650,2690,2959,2989,2329,361
2,0,1,0,0,0,0,0,Monday,23rd February 2015,5463,3975,3056,2943,3433,542
3,0,0,1,0,0,0,0,Tuesday,24th February 2015,5884,4112,3151,2895,3542,570
4,0,0,0,1,0,0,0,Wednesday,25th February 2015,5615,4019,3221,2871,3432,587
5,0,0,0,0,1,0,0,Thursday,26th February 2015,5289,3747,3284,2870,3186,561
6,0,0,0,0,0,1,0,Friday,27th February 2015,4434,2969,3334,2864,2486,483
7,0,0,0,0,0,0,1,Saturday,28th February 2015,2665,1977,3356,2900,1694,283
